ord	mouza	village	VILLAGE	di	long	lat	Best.Longitude	Best.Latitude	BAMvill[, 12]
174	55500	5550002	Badalpur	53	90,72726605	23,71321763	90,72726605	23,71321763	Mouza loc
175	55532	5553201	Kalapaharia	204	90,72966593	23,69704591	90,72966593	23,69704591	Mouza loc
176	55532	5553202	Noagaon	40	90,72966593	23,69704591	90,72966593	23,69404591	Mouza loc
177	55736	5573602	Ajirkandi	136	90,7134667	23,6821986	90,7134667	23,6821986	Mouza loc
178	55736	5573603	Gobindapur	70	90,7134667	23,6821986	90,7134667	23,6791986	Mouza loc
179	55736	5573604	Radhanagar	121	90,7134667	23,6821986	90,7134667	23,6701986	Mouza loc
180	55736	5573605	Hazirktek	132	90,7134667	23,6821986	90,7134667	23,6761986	Mouza loc
181	55736	5573606	Ulukandi	37	90,7134667	23,6821986	90,7134667	23,6671986	Mouza loc
182	55736	5573607	Khaliar Char	58	90,7134667	23,6821986	90,7134667	23,6731986	Mouza loc
183	63220	6322001	Kamalapur	1	90,6806932	23,6869386	90,6806932	23,6839386	Mouza loc
184	63220	6322002	Dengurkandi	34	90,6806932	23,6869386	90,66670212	23,69137775	Vill Loc for Lex1
185	63521	6352101	Kakailmora	129	90,6719186	23,71405409	90,6671368	23,71669801	New Vill Loc
186	63602	6360201	Lakshmipur	64	NA	NA	NA	NA	
187	63731	6373101	Sambhupura	86	90,68969279	23,7297379	90,68874099	23,74932542	Vill Loc for Lex1
188	63731	6373102	Mohanpura	81	90,68969279	23,7297379	90,68969279	23,6907379	Mouza loc
189	63731	6373103	Nijar Para	37	90,68969279	23,7297379	90,68969279	23,6787379	Mouza loc
190	63731	6373104	Dumar Char	78	90,68969279	23,7297379	90,69062917	23,73744335	Vill Loc for Lex1
191	63731	6373105	Naya Para	22	90,68969279	23,7297379	90,67348849	23,71009196	Vill Loc for Lex1
192	63731	6373106	Panchani	74	90,68969279	23,7297379	90,68525405	23,73731076	Vill Loc for Lex1
193	63731	6373107	Kadamtali	30	90,68969279	23,7297379	90,67969981	23,73336259	lat long all
194	63731	6373108	Tatuakanda (Ka)	35	90,68969279	23,7297379	90,67774282	23,70839006	Vill Loc for Lex1
195	63731	6373109	Lalurkandi	72	90,68969279	23,7297379	90,68969279	23,6967379	Mouza loc
