month,day,hour,Wind speed,site2,site4
6,13,18,11.6,8.2374,5.2789
6,14,0,13.1,13.5885,10.7732
6,14,6,11,7.0786,6.4553
6,14,12,8.2,7.3234,8.6597
6,14,18,10.5,5.0099,5.1485
6,15,0,6.1,6.7227,7.4261
6,15,6,5.9,7.1722,8.2301
6,15,12,5.4,2.0582,6.1331
6,15,18,3.9,1.2998,2.6091
6,16,0,6.9,3.323,6.5555
6,16,6,5,1.2765,3.2262
6,16,12,7.2,4.5504,5.433
6,16,18,6.7,2.5066,2.6921
6,17,0,4,2.196,2.7105
6,17,6,8.7,8.3685,9.7108
6,17,12,7.8,4.2014,6.6694
6,17,18,6.9,4.9413,5.0606
6,18,0,7.7,4.6642,7.071
6,18,6,9.6,10.3238,10.2314
6,18,12,4.1,8.307,6.6076
6,18,18,5.3,7.0848,10.4252
6,19,0,2.7,4.0173,4.2722
6,19,6,5.2,3.8626,4.9397
6,19,12,7.9,0.7205,3.4927
6,19,18,5.7,4.9634,2.5055
6,20,0,14,12.4777,7.3546
6,20,6,13.8,12.8035,13.7049
6,20,12,8.3,6.2826,6.6111
6,20,18,1.1,4.8877,4.9469
6,21,0,8.3,4.8585,1.6797
6,21,6,10.6,8.1681,5.3225
6,21,12,11,9.5015,6.9871
6,21,18,9.6,6.2965,5.5178
6,22,0,10.2,7.6481,5.7449
6,22,6,12.5,8.2856,8.8544
6,22,12,13.8,9.129,9.9728
6,22,18,6.4,5.7186,6.3085
6,23,0,7.6,7.308,4.0033
6,23,6,10.7,8.6718,7.8298
6,23,12,9.9,10.1968,8.5277
6,23,18,9.3,7.4993,7.4974
6,24,0,11,9.1263,7.0082
6,24,6,8.3,3.8951,9.2422
6,24,12,2.8,6.1703,7.6132
6,24,18,3.5,8.8995,9.9207
6,25,0,4.1,5.1615,5.2021
6,25,6,3.3,4.9455,5.3136
6,25,12,4.4,4.7507,4.9455
6,25,18,0.4,3.8275,3.3219
6,26,0,10.1,9.8121,6.9982
6,26,6,7.8,5.4078,8.1256
6,26,12,4.5,1.7799,5.0606
6,26,18,4.7,1.6267,5.231
6,27,0,5.5,4.6108,3.141
6,27,6,4.6,4.1248,1.517
6,27,12,2.5,2.6543,4.6992
6,27,18,8.9,4.8122,1.0003
6,28,0,9.1,5.4214,1.7982
6,28,6,10.5,10.2532,6.4008
6,28,12,13.6,14.315,10.9407
6,28,18,15,9.6396,9.9714
6,29,0,18.8,8.7435,11.9248
6,29,6,15.4,9.1763,12.7075
6,29,12,13.3,8.3192,10.7829
6,29,18,15.6,8.0007,8.1898
6,30,0,17.2,10.5531,13.2829
6,30,6,18.1,7.2804,13.4344
6,30,12,12.9,8.8594,8.056
6,30,18,6.8,8.0621,8.3986
7,1,0,2.1,5.7949,7.7755
7,1,6,8.8,7.388,2.4743
7,1,12,12.7,11.9616,12.045
7,1,18,10.4,7.4696,2.8279
7,2,0,8.3,10.985,12.9113
7,2,6,6.4,4.1036,6.0318
7,2,12,6.2,3.8578,3.2011
7,2,18,6.3,4.3437,3.5638
7,3,0,5.1,6.3152,5.5437
7,3,6,5.7,3.1334,4.3044
7,3,12,3.8,1.6667,3.3121
7,3,18,8.8,2.0646,4.4312
7,4,0,9.1,4.5376,4.3744
7,4,6,10.7,10.3377,7.4375
7,4,12,13.6,9.407,9.8723
7,4,18,17.3,10.7562,7.7291
7,5,0,14,12.444,10.7823
7,5,6,15.9,12.6677,13.4602
7,5,12,13.2,10.5311,12.8054
7,5,18,18.4,8.0119,13.2713
7,6,0,17.5,4.3539,10.4374
7,6,6,9.2,5.9219,4.4075
7,6,12,4.2,9.8857,2.9397
7,6,18,4.2,6.2313,5.505
7,7,0,7.7,10.4309,7.5253
7,7,6,7.1,8.1411,5.779
7,7,12,9.6,6.8246,4.295
7,7,18,8.7,6.6633,7.427
7,8,0,5.2,4.8128,6.0147
7,8,6,6.9,6.5822,4.4098
7,8,12,7.7,5.1681,9.8286
7,8,18,4.7,1.9951,4.8704
7,9,0,5.9,5.8826,4.2964
7,9,6,8.4,8.3531,7.4978
7,9,12,12.1,6.1882,4.9546
7,9,18,5.1,1.5606,4.2424
7,10,0,5.2,4.1798,5.6896
7,10,6,9.4,4.9229,8.1535
7,10,12,9.8,7.5786,11.7177
7,10,18,15.8,8.1041,10.515
7,11,0,11.1,10.118,10.8733
7,11,6,12.4,6.9601,9.2955
7,11,12,8.7,5.999,5.5589
7,11,18,6.3,3.4497,3.688
7,12,0,5.1,3.7491,2.5018
7,12,6,5.5,6.7985,4.7162
7,12,12,5.4,7.261,5.7267
7,12,18,8.6,5.2223,4.4554
7,13,0,5.8,4.991,4.1104
7,13,6,6.7,6.4513,4.5868
7,13,12,9.6,8.1991,7.3963
7,13,18,7.8,3.9973,2.5951
7,14,0,7.1,4.3437,2.5284
7,14,6,7.6,8.1125,6.2365
7,14,12,9.1,5.7528,4.7383
7,14,18,9.9,5.8128,3.1296
7,15,0,10.6,8.012,6.0631
7,15,6,13.2,9.991,8.1056
7,15,12,11.4,10.7272,10.2656
7,15,18,11.5,8.5316,12.6592
7,16,0,12.7,9.616,12.897
7,16,6,13.7,4.3666,9.1775
7,16,12,9.8,4.8816,10.3304
7,16,18,7.2,4.8055,2.916
7,17,6,8.8,7.791,4.2972
7,17,12,7.4,5.2188,4.0024
7,17,18,10.8,8.1958,7.221
7,18,0,14.3,8.0314,5.2448
7,18,6,8.9,9.8401,9.9581
7,18,12,11.5,8.9285,7.4353
7,18,18,9.3,5.4595,6.1287
7,19,0,5,4.1112,2.6164
7,19,6,6.2,3.8271,4.0526
7,19,12,4.1,4.1956,4.03
7,19,18,7.4,4.3643,4.3376
7,20,0,8.2,5.0413,6.436
7,20,6,10.4,8.8604,7.4081
7,20,12,6.1,6.0182,4.6305
7,20,18,4.3,4.3401,6.0149
7,21,0,2.8,7.5744,5.9955
7,21,6,5,10.3802,7.153
7,21,12,8.9,9.6149,9.5534
7,21,18,7,7.2121,9.2176
7,22,0,3,9.9263,9.6182
7,22,6,10.2,10.0987,9.9136
7,22,12,10.8,10.3266,10.2133
7,22,18,7.1,7.5769,9.3332
7,23,0,5.4,4.9017,7.5711
7,23,6,5.2,3.5759,1.7038
7,23,12,4.2,5.0985,1.9434
7,23,18,9.8,6.4658,3.2266
7,24,0,10.9,8.0077,6.5354
7,24,6,13.9,6.7066,6.3842
7,24,12,9.4,4.9118,9.0921
7,24,18,5.1,3.6719,7.9074
7,25,0,4.2,0.1991,5.5008
7,25,6,9.6,3.6052,2.4048
7,25,12,6.2,4.272,3.3714
7,25,18,5.2,6.0788,7.5779
7,26,0,4.8,4.6149,4.1881
7,26,6,4.4,1.9384,1.6766
7,26,12,7.8,4.4528,0.9049
7,26,18,9,5.5039,3.9034
7,27,0,8.1,7.7984,7.1007
7,27,6,10.2,6.8684,6.5901
7,27,12,5.6,5.8761,8.4723
7,27,18,5.4,1.9293,4.4612
7,28,0,5.3,9.3625,8.2559
7,28,6,7.9,5.38,4.3554
7,28,12,7,4.4547,7.8062
7,28,18,5,1.2011,1.2061
7,29,0,4.4,4.4881,4.2186
7,29,6,2.7,5.5257,5.0907
7,29,12,6.1,6.6006,3.5348
7,29,18,5.8,2.4145,4.8877
7,30,0,7.9,9.226,7.9049
7,30,6,5.8,4.1631,1.0154
7,30,12,5.5,7.744,2.5506
