stateabb,ccode,year,irst,milex,milper,pec,tpop,upop,cinc,version
HSE,273,1859,10,169,8,221,731,0,0.0014547,4
HSE,273,1860,10,154,8,283,734,0,0.0012049,4
HSE,273,1861,10,142,8,289,738,0,0.0011144,4
HSE,273,1862,10,141,8,316,740,0,0.0010875,4
HSE,273,1863,10,142,8,339,743,0,0.0010477,4
HSE,273,1864,10,149,8,385,745,0,0.0010324,4
HSE,273,1865,10,149,8,428,747,0,0.0011629,4
HSE,273,1866,10,150,8,420,749,0,0.0011797,4
HSG,275,1816,0,-9,8,-9,588,0,0.0016866,4
HSG,275,1817,0,-9,8,-9,630,0,0.0018184,4
HSG,275,1818,0,-9,8,-9,637,0,0.0019039,4
HSG,275,1819,0,-9,8,-9,644,0,0.0018053,4
HSG,275,1820,0,-9,8,-9,653,0,0.0016929,4
HSG,275,1821,0,-9,8,-9,662,0,0.0015998,4
HSG,275,1822,0,-9,8,-9,671,0,0.0015519,4
HSG,275,1823,0,-9,8,-9,679,0,0.0016877,4
HSG,275,1824,0,-9,8,-9,688,0,0.0015792,4
HSG,275,1825,0,-9,8,-9,696,0,0.0016433,4
HSG,275,1826,0,-9,8,-9,703,0,0.0017475,4
HSG,275,1827,0,-9,8,-9,711,0,0.0016945,4
HSG,275,1828,0,-9,8,-9,718,0,0.001684,4
HSG,275,1829,0,-9,8,-9,724,0,0.0016396,4
HSG,275,1830,0,-9,8,-9,731,0,0.0015599,4
HSG,275,1831,0,-9,8,-9,737,0,0.0014553,4
HSG,275,1832,0,-9,8,-9,745,0,0.0015344,4
HSG,275,1833,0,-9,7,-9,753,0,0.0014155,4
HSG,275,1834,0,-9,7,-9,761,0,0.0014687,4
HSG,275,1835,0,-9,6,-9,769,0,0.0013883,4
HSG,275,1836,0,-9,6,-9,776,0,0.0012752,4
HSG,275,1837,10,-9,7,-9,784,0,0.0025186,4
HSG,275,1838,10,-9,7,-9,793,0,0.0024473,4
HSG,275,1839,10,-9,7,-9,803,0,0.0023438,4
HSG,275,1840,10,-9,7,-9,812,0,0.0022798,4
HSG,275,1841,10,-9,7,-9,816,0,0.0022667,4
HSG,275,1842,10,-9,7,-9,824,0,0.0023398,4
HSG,275,1843,10,-9,7,-9,832,0,0.0022192,4
HSG,275,1844,10,-9,6,-9,838,0,0.0020127,4
HSG,275,1845,10,-9,6,-9,845,0,0.0019164,4
HSG,275,1846,10,-9,6,-9,851,0,0.0018022,4
HSG,275,1847,10,-9,6,-9,852,0,0.0017876,4
HSG,275,1848,10,-9,8,-9,850,0,0.0019937,4
HSG,275,1849,10,-9,10,-9,851,0,0.002131,4
HSG,275,1850,10,-9,11,-9,853,0,0.0021633,4
HSG,275,1851,10,-9,13,-9,855,0,0.0024202,4
HSG,275,1852,10,-9,10,-9,855,0,0.0020014,4
HSG,275,1853,10,-9,11,-9,851,0,0.0019813,4
HSG,275,1854,10,-9,11,-9,856,0,0.0018815,4
HSG,275,1855,10,-9,11,-9,850,0,0.0016593,4
HSG,275,1856,10,143,11,-9,838,0,0.0014105,4
HSG,275,1857,10,151,11,-9,841,0,0.00167,4
HSG,275,1858,10,163,11,-9,844,0,0.001758,4
HSG,275,1859,10,170,11,-9,848,0,0.0016596,4
HSG,275,1860,10,165,11,-9,852,0,0.0012333,4
HSG,275,1861,10,152,11,-9,855,0,0.0011138,4
HSG,275,1862,10,147,12,-9,856,0,0.0010948,4
HSG,275,1863,10,142,12,-9,855,0,0.0010205,4
HSG,275,1864,10,141,12,-9,854,0,0.0009514,4
HSG,275,1865,10,142,12,-9,854,0,0.0010845,4
HSG,275,1866,10,147,12,-9,856,0,0.0011775,4
HSG,275,1867,10,155,12,-9,823,0,0.0011748,4
MEC,280,1843,0,65,4,-9,505,0,0.0008274,4
MEC,280,1844,0,66,4,-9,511,0,0.0008374,4
MEC,280,1845,0,68,4,-9,516,0,0.0008649,4
MEC,280,1846,0,70,5,-9,522,0,0.0008934,4
MEC,280,1847,0,71,4,-9,526,0,0.0008176,4
MEC,280,1848,0,83,4,-9,530,0,0.0008202,4
MEC,280,1849,0,91,4,-9,534,0,0.0008183,4
MEC,280,1850,0,99,4,-9,537,0,0.0008412,4
MEC,280,1851,0,91,4,-9,539,0,0.0008572,4
MEC,280,1852,0,94,3,-9,542,0,0.0007635,4
MEC,280,1853,0,79,3,-9,542,0,0.000705,4
MEC,280,1854,0,104,3,-9,541,0,0.0006076,4
MEC,280,1855,0,128,3,-9,541,0,0.0005986,4
MEC,280,1856,0,144,3,-9,541,0,0.0006196,4
MEC,280,1857,0,144,3,-9,542,0,0.0007484,4
MEC,280,1858,0,145,4,-9,542,0,0.0008276,4
MEC,280,1859,0,146,4,-9,544,0,0.0007502,4
MEC,280,1860,0,146,4,-9,546,0,0.0005441,4
MEC,280,1861,0,145,4,-9,548,0,0.0004491,4
MEC,280,1862,0,145,4,-9,550,0,0.000423,4
MEC,280,1863,0,146,4,-9,551,0,0.000413,4
MEC,280,1864,0,146,4,-9,553,0,0.0003862,4
MEC,280,1865,0,-9,4,-9,556,0,0.0003666,4
MEC,280,1866,0,-9,5,-9,558,0,0.0004714,4
MEC,280,1867,0,-9,4,-9,561,0,0.000411,4
POL,290,1918,270,-9,-9,28303,21819,1583,0.0141348,4
POL,290,1919,515,-9,300,31854,24157,1669,0.0188027,4
POL,290,1920,981,13545,962,35850,26746,1760,0.0271653,4
POL,290,1921,841,110287,255,34373,27150,1857,0.0210681,4
POL,290,1922,1004,47383,252,32804,27850,1960,0.0188351,4
POL,290,1923,1135,151393,270,24774,28532,2067,0.0226428,4
POL,290,1924,681,125245,278,22695,29004,2181,0.0236928,4
POL,290,1925,782,125724,272,22880,29486,2301,0.0226138,4
POL,290,1926,788,89833,293,22880,29922,2428,0.0219305,4
POL,290,1927,1244,94903,265,28746,30294,2562,0.0220269,4
POL,290,1928,1438,97473,268,29507,30696,2703,0.0219773,4
POL,290,1929,1377,96992,268,34208,31084,2851,0.0218555,4
POL,290,1930,1237,85501,263,26187,31472,3008,0.0209321,4
POL,290,1931,1037,86016,269,25335,31930,3174,0.0218098,4
POL,290,1932,564,86038,269,19420,32406,3349,0.0214312,4
POL,290,1933,833,86072,269,19228,32830,3533,0.0208028,4
POL,290,1934,856,134938,272,19918,33220,3727,0.0203924,4
POL,290,1935,949,145075,271,20346,33620,3932,0.0181838,4
POL,290,1936,1149,144864,272,22080,34002,4149,0.0183474,4
POL,290,1937,1468,145485,281,25970,34410,4377,0.0183962,4
POL,290,1938,1441,151521,308,27547,35065,4618,0.0195729,4
POL,290,1939,504,968472,275,23882,35486,3914,0.0183111,4
POL,290,1945,488,1789566,197,20479,24182,3187,0.0097796,4
POL,290,1946,1219,2638901,132,48615,23958,2411,0.0172908,4
POL,290,1947,1579,3547189,168,41705,23734,2714,0.0246019,4
POL,290,1948,1955,4220484,204,41444,23980,3055,0.0298539,4
POL,290,1949,2304,5729645,255,49420,24410,3440,0.0336278,4
POL,290,1950,2515,1020644,328,43577,24824,3873,0.0169267,4
POL,290,1951,2787,330001,400,47426,25271,4037,0.0142594,4
POL,290,1952,3179,521401,450,49794,25753,4240,0.014722,4
POL,290,1953,3604,597399,450,53922,26255,4454,0.014944,4
POL,290,1954,3949,656894,300,56649,26761,4679,0.0143315,4
POL,290,1955,4426,793801,300,59352,27281,4915,0.013612,4
POL,290,1956,5014,804960,300,63878,27815,5163,0.0139219,4
POL,290,1957,5304,646400,300,67964,28310,5424,0.013803,4
POL,290,1958,5663,716800,300,66900,28770,5600,0.0142122,4
POL,290,1959,6160,915200,200,70853,29240,5871,0.0134182,4
POL,290,1960,6681,938701,200,74872,29561,5982,0.0131741,4
POL,290,1961,7234,1071000,305,77271,29965,6297,0.0144405,4
POL,290,1962,7684,1159200,310,80620,30324,6413,0.0143218,4
POL,290,1963,8004,1304100,303,85675,30691,6725,0.0142061,4
POL,290,1964,8573,1379700,302,89461,31161,6452,0.0138085,4
POL,290,1965,9088,1486800,302,92173,31496,6575,0.0138778,4
POL,290,1966,9850,1612798,303,93840,31698,6700,0.0135531,4
POL,290,1967,10454,1716000,305,96865,31944,6828,0.0134618,4
POL,290,1968,11007,2037000,310,105170,32305,7063,0.0135449,4
POL,290,1969,11291,2310001,312,112381,32555,7091,0.0133812,4
POL,290,1970,11795,2619601,314,150362,32526,7278,0.0134455,4
POL,290,1971,12738,3861700,315,157410.5,32805,7448,0.0145523,4
POL,290,1972,13476,4300600,318,166863.6,33068,7577,0.0144914,4
POL,290,1973,14057,4717700,328,169702.2,33363,7879,0.0141773,4
POL,290,1974,14565,5351800,366,175424.9,33691,7982,0.0143997,4
POL,290,1975,15004,5982600,435,190969.8,34022,8125,0.0154184,4
POL,290,1976,15639,6505500,435,203131.9,34362,8763,0.0155572,4
POL,290,1977,17841,7430300,370,212292.6,34698,9499,0.0159421,4
POL,290,1978,19257,7719600,382,218843,35010,9547,0.015786,4
POL,290,1979,19218,8281700,399,223392.9,35257,10169,0.0155875,4
POL,290,1980,18485,9633215,408,266105.7,35578,10342,0.0162278,4
POL,290,1981,15719,10345629,414,240553.9,35902,10500,0.015251,4
POL,290,1982,14795,12421554,420,246545.9,36227,10771,0.015664,4
POL,290,1983,16236,12282047,426,248303.5,36571,10852,0.0157092,4
POL,290,1984,16533,12105603,434,313053.3,36914,11014,0.0151652,4
POL,290,1985,16126,7309000,439,317592.2,37203,11099,0.0140681,4
POL,290,1986,17144,8490000,443,328104.7,37456,11262,0.0144052,4
POL,290,1987,17145,5900000,441,335507.7,37664,11335,0.0136219,4
POL,290,1988,16873,1219000,430,331068.7,37862,11535,0.0121759,4
POL,290,1989,15096,3230000,350,319514.3,37963,11678,0.0116164,4
POL,290,1990,13644,2540000,313,278184.4,38119,11778,0.0103135,4
POL,290,1991,10440,2610000,305,250525.1,38245,11774,0.0097754,4
POL,290,1992,9864,1900000,270,258092.6,38365,11815,0.0093895,4
POL,290,1993,9936,2200000,260,264138.5,38459,11849,0.0093561,4
POL,290,1994,11113,2300000,255,244966.2,38544,11758,0.0093334,4
POL,290,1995,11890,2753000,250,255766.7,38588,11668,0.0094314,4
POL,290,1996,10432,3730000,235,266169.7,38618,11579,0.0091354,4
POL,290,1997,11585,3073000,230,263701.2,38650,11565,0.008971,4
POL,290,1998,9915,3491000,230,254220.7,38718,11528,0.0086932,4
POL,290,1999,8848,3222000,187,250544.7,38740,11495,0.007917,4
POL,290,2000,10498,3092000,217,254250.5,38765,11418,0.0081976,4
POL,290,2001,8809,3408000,206,256431.3,38251,11341,0.0078421,4
POL,290,2002,8368,3574000,163,257804.4,38232,11264,0.0072317,4
POL,290,2003,9107,3977000,163,263883.8,38195,11239,0.0070843,4
POL,290,2004,10593,4630000,152,259300.9,38180,11145,0.0070501,4
POL,290,2005,8444,5545000,141,267711.3,38161,11098,0.0066862,4
POL,290,2006,10008,6136000,142,285110.8,38132,11051,0.0068477,4
POL,290,2007,10632,7983000,142,283601.5,38116,11017,0.0069389,4
AUH,300,1816,60,-9,222,100,29483,655,0.0860522,4
AUH,300,1817,70,6815,202,100,29769,658,0.093779,4
AUH,300,1818,70,5948,182,100,30057,660,0.0908299,4
AUH,300,1819,70,5525,242,100,30349,663,0.0930578,4
AUH,300,1820,70,6175,258,100,30643,666,0.0931703,4
AUH,300,1821,72,7864,273,100,30940,669,0.0985494,4
AUH,300,1822,72,7066,273,100,31240,671,0.0965001,4
AUH,300,1823,72,6136,272,100,31543,674,0.092505,4
AUH,300,1824,72,5805,273,200,31848,677,0.0902829,4
AUH,300,1825,72,5087,273,200,32157,680,0.0883363,4
AUH,300,1826,87,4635,273,200,32466,682,0.0901776,4
AUH,300,1827,87,4722,273,200,32778,685,0.0872459,4
AUH,300,1828,87,4932,273,200,33093,688,0.0873732,4
AUH,300,1829,87,5253,273,200,33411,691,0.0860521,4
AUH,300,1830,87,4567,273,200,33732,693,0.0794361,4
AUH,300,1831,99,7634,273,200,34057,696,0.0847439,4
AUH,300,1832,99,7231,252,200,34384,699,0.0835487,4
AUH,300,1833,99,6829,253,200,34714,702,0.0827864,4
AUH,300,1834,99,6963,271,200,35048,705,0.0860309,4
AUH,300,1835,99,6827,256,300,35141,708,0.0841547,4
AUH,300,1836,124,5646,281,300,35235,711,0.0800064,4
AUH,300,1837,124,5136,306,300,35239,714,0.0820813,4
AUH,300,1838,124,5326,332,300,35422,717,0.0826758,4
AUH,300,1839,124,5501,357,400,35517,723,0.0820385,4
AUH,300,1840,124,5574,267,500,35611,729,0.0723354,4
AUH,300,1841,137,5877,331,500,35706,736,0.0767224,4
AUH,300,1842,142,5399,396,558,35801,742,0.080164,4
AUH,300,1843,143,5405,462,488,35889,749,0.0828047,4
AUH,300,1844,158,5398,393,589,35978,755,0.0783968,4
AUH,300,1845,166,5272,319,689,36067,762,0.073204,4
AUH,300,1846,181,5882,318,829,36156,769,0.0702033,4
AUH,300,1847,196,6278,317,787,36245,777,0.0714462,4
AUH,300,1848,158,7074,409,896,36334,785,0.0760322,4
AUH,300,1849,141,15472,408,902,36424,793,0.0897646,4
AUH,300,1850,155,11210,434,912,36514,801,0.0837153,4
AUH,300,1851,197,10118,461,926,36631,810,0.0874458,4
AUH,300,1852,209,9491,487,1013,36748,848,0.0845288,4
AUH,300,1853,241,10937,514,1207,36866,888,0.0872489,4
AUH,300,1854,255,17799,540,1205,36983,931,0.0803422,4
AUH,300,1855,276,17078,427,1334,37102,958,0.0701292,4
AUH,300,1856,300,11198,427,1552,37221,985,0.0635674,4
AUH,300,1857,331,11607,427,1839,37340,1014,0.075959,4
AUH,300,1858,373,12835,403,1979,37459,1044,0.079993,4
AUH,300,1859,318,22828,355,2174,37579,1074,0.0822447,4
AUH,300,1860,313,10621,306,2405,34690,927,0.0495704,4
AUH,300,1861,315,6962,254,2774,35141,956,0.0393651,4
AUH,300,1862,348,9707,255,3097,35598,987,0.0408289,4
AUH,300,1863,345,10257,278,3120,36061,1019,0.0405104,4
AUH,300,1864,375,10644,298,3101,36529,1052,0.0397204,4
AUH,300,1865,292,9121,300,3485,37004,1086,0.0438245,4
AUH,300,1866,275,22756,275,3062,34482,1122,0.0572548,4
AUH,300,1867,310,8267,268,3771,34791,1009,0.0417711,4
AUH,300,1868,395,7663,256,4494,35103,1069,0.0429353,4
AUH,300,1869,405,8222,252,4944,35418,1133,0.044334,4
AUH,300,1870,403,8949,252,5596,35736,1201,0.042529,4
AUH,300,1871,425,9326,260,6874,36140,1232,0.0425161,4
AUH,300,1872,460,9130,264,6987,36450,1265,0.046151,4
AUH,300,1873,534,9762,292,7596,36322,1299,0.0476681,4
AUH,300,1874,494,9818,285,7263,36222,1333,0.0474281,4
AUH,300,1875,463,9723,303,7090,36436,1369,0.0469753,4
AUH,300,1876,400,10838,278,7331,36708,1405,0.0440072,4
AUH,300,1877,388,9838,278,7342,36950,1442,0.0416889,4
AUH,300,1878,434,14821,278,7594,37166,1480,0.045859,4
AUH,300,1879,404,14045,277,8476,38620,1520,0.0485899,4
AUH,300,1880,464,10314,273,8767,38960,1560,0.0439186,4
AUH,300,1881,544,10460,273,9515,39224,1602,0.0435403,4
AUH,300,1882,611,12668,279,9952,39524,1677,0.0456671,4
AUH,300,1883,698,10807,297,10625,39862,1757,0.0466863,4
AUH,300,1884,735,11097,279,10761,40268,1840,0.0462667,4
AUH,300,1885,715,10426,295,11253,40672,1927,0.0463696,4
AUH,300,1886,720,10227,297,11210,41062,2019,0.0460961,4
AUH,300,1887,705,13574,295,11861,41454,2114,0.0478686,4
AUH,300,1888,790,13484,280,12028,41836,2215,0.0457058,4
AUH,300,1889,856,12947,275,12576,42266,2319,0.0456188,4
AUH,300,1890,965,12801,332,12851,42650,2429,0.0471161,4
AUH,300,1891,922,13455,315,13746,43006,2545,0.0475797,4
AUH,300,1892,941,13116,324,13646,43308,2608,0.0474195,4
AUH,300,1893,982,13477,333,14979,43640,2673,0.0486326,4
AUH,300,1894,1072,13319,307,15305,44044,2739,0.0474405,4
AUH,300,1895,1128,13719,312,16511,44455,2808,0.0469974,4
AUH,300,1896,1218,14144,305,17168,44908,2878,0.0472,4
AUH,300,1897,1308,16042,305,17975,45379,2949,0.0465424,4
AUH,300,1898,1427,16755,312,18604,45836,3023,0.0450015,4
AUH,300,1899,1467,16462,308,19009,46298,3098,0.0440607,4
AUH,300,1900,1170,16242,308,20158,46798,3175,0.042399,4
AUH,300,1901,1099,16948,309,20859,47327,3255,0.0419825,4
AUH,300,1902,1167,17147,309,20271,47879,3355,0.0417563,4
AUH,300,1903,1162,17630,311,20923,48374,3460,0.0418664,4
AUH,300,1904,1257,19241,312,21920,48627,3567,0.042103,4
AUH,300,1905,1459,20591,313,22638,48881,3678,0.0382642,4
AUH,300,1906,1608,20252,314,24713,49136,3792,0.0410748,4
AUH,300,1907,1731,20297,316,28595,46569,3909,0.0419927,4
AUH,300,1908,2018,22296,314,35969,50001,4031,0.046856,4
AUH,300,1909,1963,26217,317,30343,50438,4156,0.0444353,4
AUH,300,1910,2174,23208,315,35970,50894,4285,0.0436378,4
AUH,300,1911,2348,22227,300,32315,51308,4418,0.0417268,4
AUH,300,1912,2708,27376,322,33358,51729,4555,0.0437164,4
AUH,300,1913,2611,37513,358,37670,52166,4696,0.0447304,4
AUH,300,1914,2162,1042000,839,32416,52594,4405,0.0682371,4
AUH,300,1915,2667,2013000,3800,28000,53025,4126,0.0624269,4
AUH,300,1916,2781,2445000,839,12650,53460,3954,0.0432142,4
AUH,300,1917,2896,2862000,839,6891,53898,3257,0.0400639,4
AUH,300,1918,-9,2133000,839,3897,54340,2642,0.0318718,4
AUS,305,1919,102,-9,29,4476,6420,2115,0.0065604,4
AUS,305,1920,198,5649,29,5777,6455,2116,0.0056447,4
AUS,305,1921,297,5649,29,7455,6504,2118,0.0065644,4
AUS,305,1922,481,18198,29,7210,6528,2119,0.0069369,4
AUS,305,1923,500,8720,29,6957,6543,2121,0.0064343,4
AUS,305,1924,370,8992,30,7842,6562,2122,0.0064633,4
AUS,305,1925,464,9723,30,7338,6582,2123,0.0063438,4
AUS,305,1926,474,10136,22,7336,6603,2125,0.0060593,4
AUS,305,1927,551,11954,20,7897,6623,2126,0.005971,4
AUS,305,1928,636,13860,20,8197,6643,2127,0.0057811,4
AUS,305,1929,632,14029,21,9293,6664,2129,0.0056732,4
AUS,305,1930,468,15242,21,7329,6684,2130,0.0054063,4
AUS,305,1931,323,14283,21,7066,6705,2131,0.0053476,4
AUS,305,1932,205,11340,21,5908,6725,2133,0.0051378,4
AUS,305,1933,226,12054,21,5629,6746,2134,0.0048335,4
AUS,305,1934,309,19646,21,5526,6760,2136,0.0047967,4
AUS,305,1935,364,21808,25,5554,6761,2137,0.0045575,4
AUS,305,1936,418,23763,26,5325,6758,2138,0.0044386,4
AUS,305,1937,650,39383,42,5913,6755,2140,0.0050165,4
AUS,305,1938,673,41523,58,2362,6753,2141,0.0051238,4
AUS,305,1955,1823,7209,15,11459,6947,2275,0.0033667,4
AUS,305,1956,2078,38500,19,11379,6952,2274,0.0034576,4
AUS,305,1957,2509,65923,23,11465,6966,2273,0.0036776,4
AUS,305,1958,2393,76385,27,10381,6987,2272,0.0036472,4
AUS,305,1959,2512,76500,31,10201,7014,2271,0.0034668,4
AUS,305,1960,3163,72724,35,12008,7048,2270,0.0036313,4
AUS,305,1961,3101,72581,38,12138,7086,2270,0.0035612,4
AUS,305,1962,2970,80247,38,12930,7130,2283,0.0034132,4
AUS,305,1963,2947,100851,75,13994,7176,2297,0.0035973,4
AUS,305,1964,3194,131736,55,14458,7224,2312,0.0033686,4
AUS,305,1965,3221,114302,55,13880,7271,2326,0.0032425,4
AUS,305,1966,3193,134183,55,14218,7322,2340,0.0031089,4
AUS,305,1967,3023,141297,60,14451,7371,2354,0.0029993,4
AUS,305,1968,3467,145865,55,14868,7409,2333,0.0029785,4
AUS,305,1969,3926,154791,55,15860,7441,2383,0.0030066,4
AUS,305,1970,4079,164722,55,24620.89,7467,2308,0.0030141,4
AUS,305,1971,3960,172276,60,26335.07,7500,2310,0.0030358,4
AUS,305,1972,4070,211984,60,27994.21,7544,2314,0.0029646,4
AUS,305,1973,4238,271910,60,30178.96,7586,2318,0.0029057,4
AUS,305,1974,4699,351210,60,30568.16,7599,2322,0.0029832,4
AUS,305,1975,4068,456221,50,29517.88,7579,2326,0.0028408,4
AUS,305,1976,4377,499028,40,31491.33,7566,2330,0.0027947,4
AUS,305,1977,4093,575724,37,31156.04,7568,2335,0.0026838,4
AUS,305,1978,4335,741427,40,33122.2,7562,2298,0.0027167,4
AUS,305,1979,4917,863330,40,35716.67,7549,2286,0.0028154,4
AUS,305,1980,4624,947596,40,31847.36,7549,2302,0.0027046,4
AUS,305,1981,4656,700215,40,34154.3,7569,2317,0.0026665,4
AUS,305,1982,4258,829546,40,32449.58,7576,2312,0.0026382,4
AUS,305,1983,4411,937463,50,31214.33,7567,2307,0.0026779,4
AUS,305,1984,4870,792584,40,52464.61,7571,2302,0.0027079,4
AUS,305,1985,4660,863940,40,53972.21,7578,2297,0.0026547,4
AUS,305,1986,4292,1230000,39,51714.46,7588,2292,0.0025734,4
AUS,305,1987,4301,1446000,70,54493.14,7598,2287,0.0027493,4
AUS,305,1988,4560,1430000,55,54319.72,7615,2282,0.0026091,4
AUS,305,1989,5004,1410000,48,42998.91,7659,2277,0.0025935,4
AUS,305,1990,4548,1540000,43,49169.53,7729,2272,0.0024639,4
AUS,305,1991,4404,1680000,44,74388.53,7813,2267,0.0028072,4
AUS,305,1992,3936,1660000,52,51444.36,7914,2261,0.0025949,4
AUS,305,1993,4152,1730000,52,51750.79,7991,2256,0.0026507,4
AUS,305,1994,4399,1600000,45,51558.37,8030,2251,0.002577,4
AUS,305,1995,4990,2129000,45,59438.76,8047,2246,0.0028133,4
AUS,305,1996,4442,2098000,45,64134.86,8058,2241,0.0026873,4
AUS,305,1997,5181,1786000,48,63872.29,8072,2236,0.0027318,4
AUS,305,1998,5282,1796000,60,64325.2,8140,2231,0.0028846,4
AUS,305,1999,5202,1696000,49,61775.63,8177,2226,0.0027039,4
AUS,305,2000,5707,1612000,40,61143.01,8211,2221,0.002603,4
AUS,305,2001,5869,1417000,35,62276.64,8043,2216,0.0025482,4
AUS,305,2002,6189,1532000,35,63252.91,8084,2272,0.0025438,4
AUS,305,2003,6261,1958000,35,74279.91,8118,2328,0.0025459,4
AUS,305,2004,6530,2250000,37,75509.98,8175,2384,0.00252,4
AUS,305,2005,7031,2263000,39,78883.72,8233,2440,0.0025679,4
AUS,305,2006,7129,2630000,40,78538.18,8282,2350,0.0025031,4
AUS,305,2007,7578,3603000,40,78155.16,8315,2367,0.0025715,4
HUN,310,1918,0,-9,-9,2518,7811,1173,0.0047665,4
HUN,310,1919,0,9584,27,3054,7880,1176,0.0037849,4
HUN,310,1920,62,9071,27,3704,7950,1179,0.0039827,4
HUN,310,1921,166,7250,35,4473,8029,1181,0.0046808,4
HUN,310,1922,257,18996,35,5185,8103,1182,0.0051828,4
HUN,310,1923,283,-9,35,5671,8173,1184,0.005537,4
HUN,310,1924,239,32126,35,5519,8232,1186,0.0061173,4
HUN,310,1925,231,18812,35,4941,8299,1187,0.0051565,4
HUN,310,1926,325,19484,35,5076,8383,1195,0.00532,4
HUN,310,1927,472,18147,35,6035,8454,1203,0.005396,4
HUN,310,1928,486,19425,35,6427,8520,1215,0.0052301,4
HUN,310,1929,514,19766,35,6834,8583,1228,0.0051483,4
HUN,310,1930,369,19022,35,5816,8649,1247,0.0049298,4
HUN,310,1931,316,16607,35,5271,8723,1253,0.0049802,4
HUN,310,1932,180,16100,35,4773,8785,1279,0.0049018,4
HUN,310,1933,228,14825,35,4778,8848,1286,0.0046575,4
HUN,310,1934,315,24525,35,5210,8919,1294,0.0047259,4
HUN,310,1935,446,28235,35,5351,8985,1306,0.00451,4
HUN,310,1936,553,31686,35,5836,9046,1313,0.0045463,4
HUN,310,1937,665,40571,35,6645,9107,1324,0.0046028,4
HUN,310,1938,647,45848,35,6676,9167,1331,0.0046944,4
HUN,310,1939,733,57861,33,7074,9227,1338,0.0042844,4
HUN,310,1940,750,-9,-9,7915,9287,1341,0.0053605,4
HUN,310,1941,782,110555,-9,8655,9344,1357,0.0048101,4
HUN,310,1942,784,-9,350,9122,9396,1362,0.0066142,4
HUN,310,1943,776,242120,-9,9246,9442,1364,0.0047858,4
HUN,310,1944,694,433638,-9,7621,9497,1379,0.0045461,4
HUN,310,1945,129,-9,-9,4048,9024,1384,0.0036055,4
HUN,310,1946,343,105863,18,5324,9042,1389,0.0035614,4
HUN,310,1947,597,118212,15,6910,9079,1396,0.0037017,4
HUN,310,1948,770,127655,35,8254,9158,1405,0.0041569,4
HUN,310,1949,860,136850,55,9991,9249,1414,0.0044192,4
HUN,310,1950,1048,142758,105,7470,9341,1558,0.0048075,4
HUN,310,1951,1290,149672,155,8770,9428,1609,0.0051205,4
HUN,310,1952,1459,153421,170,10845,9511,1660,0.0052081,4
HUN,310,1953,1543,165844,181,12776,9604,1723,0.0052974,4
HUN,310,1954,1491,171981,193,13777,9717,1781,0.0054141,4
HUN,310,1955,1629,184628,204,14551,9825,1802,0.0051515,4
HUN,310,1956,1415,212680,215,13411,9911,1824,0.0050237,4
HUN,310,1957,1375,99424,5,15428,9840,1859,0.0031168,4
HUN,310,1958,1627,136412,30,16122,9882,1875,0.0035653,4
HUN,310,1959,1759,140000,55,17359,9937,1892,0.0036906,4
HUN,310,1960,1887,173623,80,18716,9984,1908,0.0038596,4
HUN,310,1961,2053,203090,115,20094,10029,1979,0.0042928,4
HUN,310,1962,2333,284885,120,21122,10063,2084,0.0044508,4
HUN,310,1963,2374,350899,156,23402,10091,2185,0.0047388,4
HUN,310,1964,2365,348290,156,25515,10124,2360,0.0046199,4
HUN,310,1965,2520,280781,156,25522,10153,2403,0.0045246,4
HUN,310,1966,2649,288647,156,26014,10185,2447,0.0043418,4
HUN,310,1967,2739,320784,156,25006,10223,2492,0.0042239,4
HUN,310,1968,2902,456158,146,26486,10264,2600,0.0041935,4
HUN,310,1969,3033,947858,146,27398,10303,2616,0.0044448,4
HUN,310,1970,3108,728753,146,36429.26,10337,2631,0.0041881,4
HUN,310,1971,3111,1249100,146,37367.32,10365,2773,0.0045391,4
HUN,310,1972,3274,1276800,146,38934.29,10394,2793,0.0044126,4
HUN,310,1973,3327,1373900,140,41604.18,10426,2845,0.0042588,4
HUN,310,1974,3467,1562000,125,42706.25,10471,2864,0.0041311,4
HUN,310,1975,3673,1712200,118,44868.49,10532,2895,0.0042011,4
HUN,310,1976,3652,1657400,118,48240.75,10589,2924,0.0040848,4
HUN,310,1977,3723,1743200,122,49974.87,10637,3051,0.0041131,4
HUN,310,1978,3877,2027100,122,52353.76,10673,3182,0.0041164,4
HUN,310,1979,3908,2014800,121,53249,10698,3127,0.0039537,4
HUN,310,1980,3764,2618459,120,51817.39,10707,3130,0.0039857,4
HUN,310,1981,3643,2893015,119,52233.43,10700,3151,0.003957,4
HUN,310,1982,3702,3084079,119,52446.01,10683,3169,0.004007,4
HUN,310,1983,3616,3134502,118,53845.01,10656,3176,0.0039152,4
HUN,310,1984,3750,2136477,118,63812.62,10619,3288,0.0035604,4
HUN,310,1985,3646,1548973,117,80755.81,10579,3306,0.0035503,4
HUN,310,1986,3713,2400000,116,83440.24,10534,3330,0.0036821,4
HUN,310,1987,3621,2369000,116,87478.13,10486,3352,0.0035954,4
HUN,310,1988,3583,975000,117,64904.65,10443,3373,0.00302,4
HUN,310,1989,3220,1810000,109,61516.02,10398,3299,0.003049,4
HUN,310,1990,2730,1450000,94,56703.26,10365,3225,0.0026444,4
HUN,310,1991,1900,1240000,87,56915.13,10346,3230,0.0024831,4
HUN,310,1992,1541,816800,78,51951.1,10324,3207,0.0022292,4
