AA AAPL ABT AEP ALL AMGN AMZN AVP AXP
-0.018233 0.004751 0.000179 0.014133 0.003101 -0.028021 -0.083409 -0.007649 -0.031267
-0.013714 0.026005 -0.002147 0.001573 0.020711 0.013694 0.017804 0.036046 0.041379
-0.026651 -0.042396 0.013089 -0.004713 -0.011205 -0.010132 -0.112731 0 -0.029404
0.00506 0.081809 0.015929 -0.020744 -0.009495 0.001975 0.066813 0.022976 0.014192
-0.002073 -0.01379 0.000174 -0.009901 -0.012059 -0.026344 0.043121 0.002995 -0.003767
0.007418 -0.015787 0.001219 -0.020698 -0.007199 0.031842 0.240158 0.002133 0.005673
0.030928 0.054995 -0.001566 -0.003562 0.004729 0.042811 -0.010317 -0.001064 -0.020951
0.006286 0.008254 -0.000871 -0.011678 0.004079 -0.021382 0.123496 0.003409 0.00823
0.008802 0.001723 -0.001744 0.001929 0.0125 -0.002622 0.030692 0.010403 0.006531
0.007599 0.00086 -0.006813 0.008183 -0.007407 -0.013319 0.073407 0.006094 -0.018924
-0.02905 -0.008595 -0.011082 -0.017904 -0.018657 -0.031972 -0.082581 -0.002506 -0.050978
-0.014672 0.044213 0.004625 0.001945 0.024081 0.009908 -0.022504 0.023869 0.024971
0.046715 0.026152 0.021601 0.012615 -0.001856 0.008358 0.020863 0.006135 0.015581
-0.019526 -0.01254 -0.004506 0.001677 0.013639 0.042883 -0.032417 0.010976 -0.020921
-0.038122 0.038509 -0.01445 -0.005262 -0.006116 -0.026088 -0.0874 -0.020105 -0.047863
-0.010944 0.003945 0.006889 -0.004568 0.010769 0.005499 -0.082203 -0.000821 0.032316
0.011962 -0.030648 -0.018947 -0.009179 -0.019787 -0.004234 -0.02087 -0.003696 -0.046377
-0.004156 -0.014998 -0.00608 -0.010391 0.036956 -0.007619 -0.001776 -0.010717 0.004559
0.025931 -0.011111 -0.005218 0.00775 0.010183 0.033744 0.113879 -0.005 0.024206
0.038059 0.039534 0.007054 0.017613 0.00504 -0.004491 0.0623 -0.005444 -0.009749
-0.006157 -0.010809 0.008082 0.011945 -0.00413 0.023595 -0.030075 0.013263 -0.015811
0.021966 0.012141 -0.002851 0.011323 0.035545 -0.001356 0.030233 0.011635 0.030918
-0.001378 -0.016393 0.00536 0.001191 0.004577 -0.015614 0.044394 -0.001237 0.01676
0.004415 -0.028455 0.019015 0.00119 -0.031891 0.003276 -0.033862 0.010737 -0.026027
-0.031593 -0.053556 -0.01308 -0.007605 -0.020588 -0.022169 -0.029828 -0.001839 -0.012767
