tstamp	tyear	pow
200201190100   18.04167   6896
200201190105   18.04514   6751
200201190110   18.04861   6073
200201190115   18.05208   5425
200201190120   18.05556   4846
200201190125   18.05903   4481
200201190130   18.06250   3513
200201190135   18.06597   2827
200201190140   18.06944   2019
200201190145   18.07292   1844
200201190150   18.07639   1852
200201190155   18.07986   2134
200201190200   18.08333   2454
200201190205   18.08681   2842
200201190210   18.09028   2736
200201190215   18.09375   2438
200201190220   18.09722   1897
200201190225   18.10069   2141
200201190230   18.10417   2362
200201190235   18.10764   2347
200201190240   18.11111   1699
200201190245   18.11458   1516
200201190250   18.11806   1737
200201190255   18.12153   2118
200201190300   18.12500   2957
200201190305   18.12847   3597
200201190310   18.13194   3696
200201190315   18.13542   4115
200201190320   18.13889   4084
200201190325   18.14236   3094
200201190330   18.14583   2804
200201190335   18.14931   3536
200201190340   18.15278   4907
200201190345   18.15625   5791
200201190350   18.15972   5822
200201190355   18.16319   5433
200201190400   18.16667   5517
200201190405   18.17014   5951
200201190410   18.17361   5966
200201190415   18.17708   5631
200201190420   18.18056   5509
200201190425   18.18403   6279
200201190430   18.18750   6187
200201190435   18.19097   6348
200201190440   18.19444   6340
200201190445   18.19792   5906
200201190450   18.20139   5814
200201190455   18.20486   6424
200201190500   18.20833   7970
200201190505   18.21181   8824
200201190510   18.21528   8489
200201190515   18.21875   8123
200201190520   18.22222   8405
200201190525   18.22569   9281
200201190530   18.22917   8763
200201190535   18.23264   8207
200201190540   18.23611   8009
200201190545   18.23958   7445
200201190550   18.24306   7193
200201190555   18.24653   7323
200201190600   18.25000   7178
200201190605   18.25347   6591
200201190610   18.25694   6180
200201190615   18.26042   6210
200201190620   18.26389   6279
200201190625   18.26736   6005
200201190630   18.27083   5593
200201190635   18.27431   5791
200201190640   18.27778   5944
200201190645   18.28125   6218
200201190650   18.28472   6957
200201190655   18.28819   7498
200201190700   18.29167   8115
200201190705   18.29514   8481
200201190710   18.29861   8237
200201190715   18.30208   8062
200201190720   18.30556   7635
200201190725   18.30903   7673
200201190730   18.31250   7513
200201190735   18.31597   7742
200201190740   18.31944   7719
200201190745   18.32292   7887
200201190750   18.32639   8001
200201190755   18.32986   9883
200201190800   18.33333   9815
200201190805   18.33681  10173
200201190810   18.34028  10645
200201190815   18.34375  10919
200201190820   18.34722  11377
200201190825   18.35069  12131
200201190830   18.35417  11247
200201190835   18.35764  11438
200201190840   18.36111  11140
200201190845   18.36458  10272
200201190850   18.36806  10508
200201190855   18.37153  10218
200201190900   18.37500   9975
200201190905   18.37847  10074
200201190910   18.38194  10737
200201190915   18.38542  10150
200201190920   18.38889   9708
200201190925   18.39236   9556
200201190930   18.39583  10538
200201190935   18.39931   9929
200201190940   18.40278   9929
