AGE	CAREPROV	CARESELF	CHILDU15	CHILDUP3	CHILDUP5	CHRONDIS	CIVILSTAT	CLOTHPRV	EDUC	EMPLOYEE	FEMALE	FLEXSCHED	FOODPROV	FULLTIME	GOODHLTH	HELPOTHF	HHINC	HHSIZE	HOBBIES	HOMEMNT	HOUSWIFE	HOUSWORK	LABFORCE	LEISURE	MEDTIME	NORESDOM	PAIDWORK	PERSINC	PRIVEMPL	PUBEMPL	REGION	RESDMSTC	RETIRED	SATURDAY	SLEEP	SOCLIFE	SPANIARD	SPORT	STUDY	SUNDAY	TOTALWRK	UNEMPLYD	UNPAIDWK	VOLWORK	WEEKDOMH	WEEKWRKH	WORKDAY	WORKNOPR
48	0	110	0	0	0	0	1	0	8	0	1	0	0	0	1	0	2730,65	4	0	30	0	30	1	360	250	0	510	1124,66	0	0	16	0	0	0	540	0	1	0	0	0	540	0	30	0	0	0	1	0
56	0	50	1	0	0	0	1	68,57142857	6,5	0	0	0	102,8571429	0	1	0	4143,74	5	0	148,5714286	1	320,0000001	0	139,9999999	30	1	650	1124,66	0	0	7	0	0	1	330	0	1	60	0	0	970,0000001	0	320,0000001	0	5	0	0	0
17	0	100	0	0	0	0	2	0	12	0	0	0	10	0	1	0	342,62	3	0	10	0	20	0	890	0	0	0	0	0	0	9	0	0	1	530	90	1	640	60	0	20	0	20	0	0	0	0	0
20	0	60	0	0	0	0	2	0	12	0	1	0	10	0	1	0	4356,95	4	20	0	0	10	0	850	20	1	0	0	0	0	1	0	0	0	580	0	1	140	610	0	10	0	10	0	9	0	1	0
44	11,53846154	150	0	0	0	0	1	69,23076923	6,5	0	0	0	334,6153846	0	1	0	1539,52	4	0	184,6153846	1	600	0	470	200	0	0	0	0	0	1	0	0	0	370	120	1	0	0	0	600	0	600	0	0	0	1	0
33	108,3333333	80	1	1	1	0	1	0	8	1	1	1	0	1	1	0	1248,25	3	0	21,66666667	0	130	1	180	10	0	640	1124,66	1	0	1	0	0	0	490	90	1	0	0	0	770	0	130	0	0	40	1	0
42	320	90	2	0	1	0	1	0	8	1	1	0	0	1	1	0	1338,57	4	0	0	0	320	1	390	180	0	80	1338,57	1	0	9	0	0	0	650	120	1	0	0	1	400	0	320	0	0	40	0	0
54	52,30769231	250	0	0	0	0	2	0	8	1	0	1	183,0769231	1	1	0	3601,12	4	0	104,6153846	0	340	1	590	250	1	0	1124,66	1	0	1	0	0	0	510	0	1	90	0	0	340	0	340	0	4	40	1	0
69	40	320	1	0	0	0	3	0	2,5	0	0	0	0	0	1	0	1740,81	4	0	0	0	40	0	860	140	0	0	0	0	0	12	0	1	0	540	400	1	0	0	1	40	0	40	0	0	0	0	0
71	0	140	0	0	0	0	1	143,8461538	6,5	0	0	0	300,7692308	0	1	0	313,4	2	0	65,38461538	1	510	0	340	110	0	0	0	0	0	1	0	0	0	590	90	1	0	0	0	510	0	510	0	0	0	1	0
42	30	90	3	0	0	0	1	0	17	1	0	1	120	1	1	0	4002,05	5	60	150	0	300	1	320	0	1	440	3232,29	0	1	9	0	0	0	380	80	1	90	0	0	740	0	300	0	5	37,5	1	0
49	0	200	1	0	0	0	1	80	2,5	0	0	0	320	0	1	0	769,76	3	0	80	1	480	0	540	210	0	0	0	0	0	5	0	0	1	420	0	1	130	0	0	480	0	480	0	0	0	0	0
13	0	130	1	0	0	0	2	0	6,5	0	1	0	10	0	1	0	0	3	0	20	0	30	0	880	0	0	0	0	0	0	13	0	0	0	530	0	1	0	750	0	30	0	30	0	0	0	1	0
71	40	120	0	0	0	0	1	0	11	0	1	0	10	0	1	0	760,95	3	0	0	0	50	0	550	180	0	0	0	0	0	13	0	1	0	840	250	1	0	0	0	50	0	50	0	0	0	1	0
14	0	380	2	0	0	1	2	0	8	0	0	0	0	0	1	0	3601,12	3	220	0	0	0	0	820	150	1	0	0	0	0	13	0	0	0	620	0	1	70	0	0	0	0	0	0	40	0	1	0
35	300,4878049	90	1	0	1	0	1	0	0	1	0	0	64,3902439	0	1	0	2141,66	3	0	75,12195122	0	440	1	130	40	0	400	769,759	1	0	13	0	0	0	470	0	1	0	0	0	840	0	440	0	0	22,5	1	0
42	0	240	1	0	0	0	1	0	8	0	0	0	0	0	1	0	1248,25	4	0	60	1	60	0	780	260	0	0	0	0	0	7	0	0	0	600	90	1	190	0	0	60	0	60	0	0	0	1	0
48	0	160	1	0	0	0	1	0	12	0	1	0	0	0	1	0	1753,43	5	40	0	0	0	1	360	160	0	590	983,669	0	0	9	0	0	1	490	0	1	0	0	0	590	0	0	0	0	0	0	0
10	0	200	3	0	0	0	2	0	2,5	0	1	0	0	0	1	0	760,95	6	390	0	0	0	0	800	30	0	0	0	0	0	18	0	0	0	640	180	1	0	0	0	0	0	0	0	0	0	1	0
66	0	220	0	0	0	1	1	0	2,5	0	1	0	0	0	0	0	313,4	2	0	0	0	0	0	640	40	0	0	0	0	0	12	0	1	0	800	380	1	0	0	0	0	0	0	0	0	0	1	0
35	236,25	160	2	1	1	0	1	110,25	8	0	0	0	283,5	0	1	0	769,76	4	0	0	1	630	0	240	0	0	0	0	0	0	1	0	0	0	570	80	1	0	0	0	630	0	630	0	0	0	1	0
34	310,754717	100	1	1	1	0	5	46,03773585	8	0	0	0	184,1509434	0	1	0	769,76	3	0	69,05660377	1	610	0	320	150	0	0	0	0	0	7	0	0	0	510	0	1	70	0	1	610	0	610	0	0	0	0	0
65	70	430	0	0	0	1	1	0	8	1	1	0	0	1	1	0	769,76	2	0	0	0	70	1	690	260	0	0	769,759	1	0	5	0	0	0	680	0	1	0	0	0	70	0	70	0	0	40	1	0
41	50	280	2	0	0	0	1	60	17	1	0	0	40	0	1	0	3601,12	4	0	70	0	220	1	560	170	1	0	769,759	1	0	16	0	0	0	660	30	1	80	0	1	220	0	220	0	20	1	0	0
51	0	100	0	0	0	1	1	0	8	1	1	0	0	1	1	0	1248,25	5	0	170	0	170	1	640	210	0	0	1124,66	1	0	12	0	0	0	630	120	1	210	0	1	170	0	170	0	0	40	0	0
49	0	80	0	0	0	0	1	50	8	0	0	0	120	0	1	0	1371,9	4	0	320	1	490	0	420	270	0	0	0	0	0	1	0	0	0	530	30	1	40	0	0	490	0	490	0	0	0	1	0
38	0	160	0	0	0	0	1	60,86956522	6,5	1	0	0	289,1304348	0	1	0	342,62	3	0	0	0	350	1	460	180	0	0	342,621	1	0	9	0	0	0	630	0	1	120	0	1	350	0	350	0	0	20	0	0
27	0	170	0	0	0	0	2	70	9	0	0	0	0	0	1	0	2235,26	7	80	270	0	340	1	540	40	0	0	0	0	0	12	0	0	0	560	170	1	80	0	1	340	1	340	0	0	0	0	0
52	0	110	0	0	0	0	1	0	8	0	0	0	208	0	1	100	769,76	4	0	52	1	260	0	570	400	0	0	0	0	0	17	0	0	0	510	0	1	60	0	0	360	0	360	100	0	0	1	0
36	0	420	0	0	0	0	2	0	17	0	1	0	0	0	1	0	1371,9	1	0	0	0	0	1	740	60	0	500	1371,9	0	0	16	0	0	0	200	130	1	130	0	0	500	0	0	0	0	0	1	0
80	0	190	0	0	0	1	1	0	6,5	0	1	0	30	0	1	10	760,95	2	0	0	0	30	0	810	450	0	0	0	0	0	9	0	1	0	590	170	1	0	0	0	40	0	40	10	0	0	1	0
57	0	220	0	0	0	0	1	0	6,5	0	1	0	0	0	1	0	1894,42	4	0	0	0	0	1	280	60	0	580	1124,66	0	0	1	0	0	0	580	0	1	0	0	0	580	0	0	0	0	0	1	0
39	100	220	1	0	1	0	1	0	8	0	0	0	150	0	1	0	1740,81	6	0	0	1	250	0	620	70	0	0	0	0	0	1	0	0	0	570	230	1	100	0	1	250	0	250	0	0	0	0	0
39	240	170	2	0	1	0	1	0	12	1	1	0	0	1	1	0	2235,26	4	0	0	0	240	1	540	120	1	0	1124,66	1	0	9	0	0	0	660	160	1	90	0	0	240	0	240	0	10	45	1	0
48	0	90	1	0	0	0	1	0	12	1	1	0	0	1	1	0	769,76	4	150	0	0	0	1	400	160	0	450	769,759	1	0	12	0	0	0	420	0	1	0	0	0	620	0	170	170	0	40	1	170
34	65,45454545	150	1	0	0	0	1	120	8	0	0	0	130,9090909	0	1	0	1371,9	4	0	403,6363636	0	720	1	240,0000001	0	0	0	0	0	0	1	0	0	0	480	0	1	90	0	0	720	1	720	0	0	0	1	0
75	0	70	0	0	0	1	1	0	2,5	0	0	0	200	0	0	0	1740,81	3	0	0	0	200	0	530	180	0	0	0	0	0	3	0	1	1	710	210	1	70	0	0	200	0	200	0	0	0	0	0
48	0	140	0	0	0	0	1	70	12	0	0	0	270	0	1	0	1248,25	3	0	80	1	420	0	610	0	0	0	0	0	0	1	0	0	0	410	0	1	0	470	1	420	0	420	0	0	0	0	0
37	65,45454545	170	2	0	0	0	1	32,72727273	8	1	0	0	109,0909091	0	1	0	2141,66	4	0	32,72727273	0	240	1	420	120	0	370	769,759	1	0	1	0	0	0	410	10	1	120	0	0	610	0	240	0	0	25	1	0
10	0	190	2	0	0	0	2	0	2,5	0	0	0	0	0	1	0	1248,25	4	20	30	0	30	0	820	0	0	0	0	0	0	9	0	0	0	590	0	1	190	420	0	30	0	30	0	0	0	1	0
12	0	160	2	0	0	0	2	0	6,5	0	1	0	0	0	1	0	3601,12	7	0	0	0	0	0	840	70	0	0	0	0	0	6	0	0	0	600	0	1	0	610	0	0	0	0	0	0	0	1	0
49	0	100	0	0	0	0	1	0	17	1	1	1	88,88888889	1	1	0	3601,12	3	30	11,11111111	0	100	1	330	100	0	590	1723,23	1	0	13	0	0	0	420	20	1	30	50	0	690	0	100	0	0	40	1	0
42	310	160	2	1	1	0	1	0	12	1	1	0	20	1	1	0	2492,99	4	0	0	0	330	1	630	320	1	0	769,759	1	0	9	0	0	0	480	150	1	0	0	1	330	0	330	0	4	40	0	0
68	0	160	0	0	0	0	1	10	8	0	0	0	140	0	1	0	760,95	2	0	10	1	160	0	830	360	0	0	0	0	0	15	0	0	0	450	50	1	260	0	0	160	0	160	0	0	0	1	0
28	0	110	0	0	0	0	1	0	11	1	0	0	80	1	1	0	1539,52	2	0	0	0	80	1	310	60	0	600	769,759	1	0	14	0	0	0	450	0	1	40	100	0	680	0	80	0	0	40	1	0
79	0	140	0	0	0	0	3	100	6,5	0	1	0	200	0	1	0	1248,25	2	0	60	0	360	0	360	120	0	0	0	0	0	6	0	1	0	720	100	1	0	0	0	360	0	360	0	0	0	1	0
41	30	120	1	0	0	0	1	50	9	1	0	0	160	0	1	0	2730,65	4	0	150	0	390	1	250	100	0	290	1124,66	0	1	4	0	0	0	510	30	1	0	0	0	680	0	390	0	0	20	1	0
49	0	250	0	0	0	0	1	0	0	1	1	0	0	1	1	0	2235,26	5	0	20	0	20	1	430	50	0	460	769,759	1	0	1	0	0	0	530	40	1	90	0	0	480	0	20	0	0	0	1	0
66	0	280	0	0	0	0	3	0	6,5	0	0	0	140,8	0	1	0	1539,52	3	0	179,2	0	320	0	520	60	0	0	0	0	0	9	0	1	0	600	180	1	0	0	1	320	0	320	0	0	0	0	0
